层索引,激活率(%),平均值(Sigmoid),最大值(Sigmoid),最小值(Sigmoid)
0,34.45676040649414,0.3436412513256073,0.9999603033065796,0.0002346164983464405
1,7.73982572555542,0.1034998968243599,0.9999971389770508,8.901672845240682e-05
2,42.405521392822266,0.4218141436576843,0.9998961687088013,2.5074607037822716e-05
3,9.474926948547363,0.1574687361717224,0.9999158382415771,4.357147554401308e-05
4,11.873183250427246,0.13985498249530792,0.9999793767929077,4.428676766110584e-05
5,20.267078399658203,0.21930834650993347,0.9999872446060181,2.1581319742836058e-05
6,13.953489303588867,0.1633366495370865,0.999983549118042,2.1158215531613678e-05
7,14.05341625213623,0.16407383978366852,0.9999279975891113,2.5071524305531057e-06
8,15.506903648376465,0.18701811134815216,0.9999518394470215,7.73566080169985e-06
9,13.66279125213623,0.17052151262760162,0.9999969005584717,5.865409093530616e-06
10,16.088298797607422,0.19165202975273132,0.9999645948410034,1.246321289727348e-06
11,16.179141998291016,0.19288939237594604,0.9999988079071045,8.270428224932402e-06
12,18.432048797607422,0.2091352343559265,0.9999979734420776,8.432758477283642e-06
13,18.014171600341797,0.20788130164146423,0.9999779462814331,6.993326223891927e-06
14,18.63190460205078,0.21241338551044464,0.9999945163726807,3.270223203344358e-07
15,18.604650497436523,0.21014608442783356,0.9999202489852905,1.3567821042670403e-05
16,19.476743698120117,0.22126370668411255,0.999548614025116,3.161452696076594e-05
17,17.532703399658203,0.20483365654945374,0.9999897480010986,1.6870739273144864e-05
18,19.213298797607422,0.21700628101825714,0.9999752044677734,1.6631282051093876e-05
19,17.668968200683594,0.2050567865371704,0.9999994039535522,1.699316817393992e-05
20,19.067951202392578,0.21814586222171783,0.9999973773956299,5.970971415081294e-06
21,19.53125,0.2199230194091797,0.9999755620956421,1.2743574188789353e-05
22,19.37681770324707,0.2189631313085556,0.9999765157699585,1.2571887964440975e-05
23,19.458576202392578,0.2170795351266861,0.999998927116394,4.447605988389114e-06
24,20.02180290222168,0.22270846366882324,0.9999380111694336,2.744206312854658e-06
25,21.320858001708984,0.23346994817256927,0.9999986886978149,3.033624125237111e-06
26,23.30123519897461,0.2501513659954071,0.9999905824661255,5.752823653892847e-06
27,21.6569766998291,0.23550863564014435,0.9999980926513672,1.6833926110848552e-06
28,21.684228897094727,0.2314692884683609,0.9999967813491821,2.2840540623292327e-06
29,21.3117733001709,0.229932501912117,0.9999587535858154,1.6279676628982997e-06
30,24.64571189880371,0.25732800364494324,0.9999986886978149,2.818006805682671e-07
31,29.14244270324707,0.2995228171348572,0.9999943971633911,2.7573541956371628e-06
32,27.698036193847656,0.2791381776332855,0.9999884366989136,1.2229124877194408e-06
33,28.24309539794922,0.2860083281993866,0.9999959468841553,1.8736501488092472e-06
34,29.92369270324707,0.3005811870098114,0.9999783039093018,6.605017915717326e-06
35,34.01163101196289,0.33361682295799255,0.999984622001648,4.622382618890697e-07
